source_genesymbol	target_genesymbol	references	sources
MYC	TERT	10022128;10491298;10606235;10637317;10723141;10786671;10914736;11274400;11279234;11287602;11435602;11606399;11916966;12044867;12646176;12695333;12802280;12807729;12821782;12941894;12970752;14519204;14563552;14611815;14612409;14744757;15226182;15371341;15595642;15655249;15665468;15958520;16205635;16287840;16402390;16489011;16785237;16880523;17070091;17141225;17706770;17934056;17942561;17967894;18093727;18158869;18226852;18365874;18367227;18586674;18754863;18818322;19003324;19047367;19148473;19360348;19649288;19762557;19787269;19806010;19912441;20454512;20723213;21132266;21553143;21627565;21807113;21855630;21995449;22207128;23759068;23860446;24705139;9988278	TRRUST_from_CollecTRI
SMAD3	JUN	10022869;12374795	TRRUST_from_CollecTRI
SMAD4	JUN	10022869;12374795	TRRUST_from_CollecTRI
RELA	FAS	10022897;10871852;11290773;11473033;16317104;16784892;19628709;22669972;23604035;9733827	TRRUST_from_CollecTRI
TP53	IGF1R	10023442;11001824;12089352;12444079;15131018;16181796;17014845;17097318;17600529;20633551;22033326;24205274;8710868	TRRUST_from_CollecTRI
ZBTB16	CCNA2	10023668;11920165;14527952;18504436;20731660	TRRUST_from_CollecTRI
RUNX1	IL3	10023677;11997340;15735013;20506188;8180380;9036972	TRRUST_from_CollecTRI
STAT1	CDKN1A	10023678;10866323;11162600;12239594;16449678;20738848;21307941;22591439	TRRUST_from_CollecTRI
STAT3	CDKN1A	10023678;11114718;11773079;12438313;15063116;15286705;16923815;18320073;19329556;19372587;20654581;21184768;22328012;23178160;9694869	TRRUST_from_CollecTRI
MTF1	MCAT	10026134;10605938;11551972;12716893;15378601;16423564;17363595;18023887;18230604;20979157;21870250;23374901	TRRUST_from_CollecTRI
FOXA2	GCG	10026208;11773447;11875061;15828872;21824254;7776982;8164696;9121428	TRRUST_from_CollecTRI
RELA	ABCB1	10026303;12527911;18234965;19763573;21054339;22927901	TRRUST_from_CollecTRI
TP53	CDKN1A	10029406;10037739;10072388;10094833;10101800;10321740;10327058;10348346;10435630;10498892;10499591;10522058;10559267;10566557;10597242;10625687;10660101;10749849;10753197;10777217;10792001;10799578;10910098;10935506;11021966;11032828;11152513;11162506;11162600;11175333;11278953;11313463;11313928;11375890;11384995;11395510;11429705;11444825;11514734;11557753;11668476;11739748;11748232;11890931;11892838;11895854;11922774;11973611;12007564;12045203;12080472;12168779;12173040;12203124;12226108;12239594;12379483;12384701;12392301;12420214;12433990;12560513;12573582;12609999;12640112;12665570;12681065;12716906;12717415;12748190;12782287;12806965;12851404;12869419;12889596;12902982;12925527;12934105;14517211;14522900;14580351;14612423;14614448;14614455;14635196;14722112;14743206;15007388;15009091;15024021;15051477;15067082;15082782;15136035;15184659;15208672;15248906;15259070;15302882;15339933;15371422;15489892;15492238;15496412;15509808;15539944;15566940;15586362;15660129;15710329;15728246;15738655;15741235;15790310;15851483;15856024;15860260;15872011;15882981;15897882;15985438;15988033;16061648;16103882;16107883;16131836;16204065;16230382;16261158;16288208;16317118;16341121;16343438;16410722;16434701;16458891;16488074;16537920;16540664;16557594;16574813;16581545;16601686;16733561;16778203;16778363;16894028;16931520;16970927;17101782;17108107;17121856;17145718;17146435;17158927;17167174;17224908;17280505;17307334;17317670;17339230;17344317;17404570;17509529;17569660;17592775;17610896;17646389;17678435;17685229;17721438;17762884;17786325;17878219;17903248;17916908;17938176;17942917;17977830;17996705;17997002;18059034;18094076;18172861;18193090;18208621;18225552;18269916;18272192;18419600;18446786;18451802;18483411;18505818;18521083;18573881;18593586;18615633;18628250;18644983;18645003;18645021;18656471;18690848;18719376;18755897;18757425;18769160;18840648;18951877;19067706;19118657;19243472;19244234;19383287;19394332;19435914;19472317;19501055;19608464;19630958;19713748;19723072;19738071;19749793;19789303;19843844;19846554;19882681;19954840;20036872;20124454;20153576;20187950;20190809;20331637;20448457;20473858;20511722;20531308;20673369;20696891;20797428;20814747;20817677;20843368;20885946;20962589;21084835;21093383;21242964;21245169;21295542;21317932;21325288;21524151;21528307;21541551;21546904;21552844;21557991;21606339;21642427;21715977;21733196;21791610;21858218;21900401;21903579;21957244;21969549;22001409;22086179;22172947;22190353;22244155;22253232;22266186;22266868;22270849;22279545;22290440;22427654;22480684;22503977;22514644;22532570;22611192;22713239;22732402;22894933;22948151;22989750;23017582;23066038;23100276;23146670;23149933;23159636;23187802;23208500;23329847;23349794;23474493;23650552;23665236;23759594;23874636;24074410;24096481;24134839;24189165;24205274;24289924;24356969;24379401;24384472;24559687;24584189;24599959;24821727;24821728;24835508;25024194;7478511;7566157;7624134;7624148;7696178;7753560;7774811;7777546;7970699;8242752;8547219;8557703;8603071;8616838;8632901;8641969;8647846;8691637;8749722;8752276;8799837;8816885;8878553;8910340;9108440;9154806;9183012;9191059;9207798;9216067;9223430;9224526;9233781;9268365;9268733;9288775;9349504;9360984;9405685;9440695;9472102;9519881;9525742;9535786;9582019;9588214;9614553;9652736;9707425;9714336;9816061;9816111;9895308;9916993;9920903;9926942	TRRUST_from_CollecTRI
TP53	RB1	10029406;11121443;11244564;11818069;11850820;12444079;12749855;15618023;15827088;1608930;16931621;21496227;22729911;22894933;23474762;8119988;8270002;8355507;8720930;8845569;9774636	TRRUST_from_CollecTRI
E2F1	CDKN1A	10030670;10702805;15048076;16923815;17008321;17167174;9191053;9748148	TRRUST_from_CollecTRI
E2F3	CDKN1A	10030670;15855772;17008321;17167174;22894933	TRRUST_from_CollecTRI
HBP1	CDKN1A	10030670;11748232	TRRUST_from_CollecTRI
YY1	NR3C1	10030686;12039077	TRRUST_from_CollecTRI
JUN	MAPK8	10037172;10092525;10764760;10954918;12162804;12183409;12441106;12637567;15122763;15225883;15483136;15582605;15950217;16397260;16452190;16611996;17932215;18374905;18457359;18535250;18607069;19010898;19016586;19289495;19324081;20353950;20813260;21216243;21710359;21719561;21739277;22344299;22353755;22802261;23608488;23939952;24123203;8610116;9295358;9427647;9691914;9743233;9746785;9867853;9878062	TRRUST_from_CollecTRI
NR1I3	CYP2B6	10037683;11075820;11256950;11502872;12571232;14570762;14683479;16449384;16623664;18303024;18332083;18677425;19041682;19467232;19702527;19928584;21965327;22484313;22761658;9742082	TRRUST_from_CollecTRI
TP53	BCL2	10037739;10329733;10744634;10953306;11193470;11313951;11713302;11782367;14684736;15326476;15767042;16294215;16738310;17592775;17693666;18397889;18487508;18682598;19137013;19411072;19521340;19555669;19714248;20428827;20501806;20530667;20840522;21656028;21666495;21859835;22266868;22869582;23638218;24098340;24155778;24814047;8174112;8183578;8205530;9000137;9649502	TRRUST_from_CollecTRI
PHOX2A	DBH	10037744;10644760;11034547;11948255;12609984;14512028;16280598;21241805;9341190;9763470;9798905	TRRUST_from_CollecTRI
STAT4	IRF1	10037767;10068671;10358173	TRRUST_from_CollecTRI
WT1	ODC1	10047468;8604351	TRRUST_from_CollecTRI
IRF3	IFNA1	10048763;10692430;10933732;10938111;11162841;11303025;11473119;12242290;12821121;15331713;15741273;16641293;17785777;19193793;19349300;20047764;21795596;22593165;23028052;24278020;24535579;27012395;8524823;9877175;9891032	TRRUST_from_CollecTRI
